[2025-06-23T21:27:55.248+02:00] model usage detail: {"prompt_tokens":1442,"completion_tokens":106,"total_tokens":1548}
[2025-06-23T21:28:11.598+02:00] model usage detail: {"prompt_tokens":1463,"completion_tokens":111,"total_tokens":1574}
[2025-06-23T21:28:25.661+02:00] model usage detail: {"prompt_tokens":1483,"completion_tokens":116,"total_tokens":1599}
[2025-06-23T21:28:38.910+02:00] model usage detail: {"prompt_tokens":1503,"completion_tokens":64,"total_tokens":1567}
[2025-06-23T21:28:50.594+02:00] model usage detail: {"prompt_tokens":1390,"completion_tokens":113,"total_tokens":1503}
[2025-06-23T21:29:07.287+02:00] model usage detail: {"prompt_tokens":1444,"completion_tokens":113,"total_tokens":1557}
[2025-06-23T21:29:21.274+02:00] model usage detail: {"prompt_tokens":1466,"completion_tokens":113,"total_tokens":1579}
[2025-06-23T21:31:55.312+02:00] model usage detail: {"prompt_tokens":1389,"completion_tokens":109,"total_tokens":1498}
[2025-06-23T21:32:14.458+02:00] model usage detail: {"prompt_tokens":1387,"completion_tokens":117,"total_tokens":1504}
[2025-06-23T21:37:11.693+02:00] model usage detail: {"prompt_tokens":1386,"completion_tokens":102,"total_tokens":1488}
[2025-06-23T21:37:31.705+02:00] model usage detail: {"prompt_tokens":1387,"completion_tokens":127,"total_tokens":1514}
[2025-06-23T21:37:53.433+02:00] model usage detail: {"prompt_tokens":1390,"completion_tokens":131,"total_tokens":1521}
[2025-06-23T21:38:15.248+02:00] model usage detail: {"prompt_tokens":1088,"completion_tokens":126,"total_tokens":1214}
[2025-06-23T21:38:38.141+02:00] model usage detail: {"prompt_tokens":1390,"completion_tokens":130,"total_tokens":1520,"prompt_tokens_details":null,"completion_tokens_details":null}
[2025-06-23T21:38:58.145+02:00] model usage detail: {"prompt_tokens":1390,"completion_tokens":131,"total_tokens":1521}
[2025-06-23T21:39:18.058+02:00] model usage detail: {"prompt_tokens":1390,"completion_tokens":131,"total_tokens":1521}
[2025-06-23T21:39:38.614+02:00] model usage detail: {"prompt_tokens":1390,"completion_tokens":131,"total_tokens":1521}
[2025-06-23T21:39:59.655+02:00] model usage detail: {"prompt_tokens":1390,"completion_tokens":128,"total_tokens":1518}
[2025-06-23T21:40:25.518+02:00] model usage detail: {"prompt_tokens":1390,"completion_tokens":130,"total_tokens":1520,"prompt_tokens_details":null,"completion_tokens_details":null}
[2025-06-23T21:40:47.554+02:00] model usage detail: {"prompt_tokens":1390,"completion_tokens":131,"total_tokens":1521}
[2025-06-23T21:41:14.290+02:00] model usage detail: {"prompt_tokens":1088,"completion_tokens":124,"total_tokens":1212}
[2025-06-23T21:41:34.452+02:00] model usage detail: {"prompt_tokens":1390,"completion_tokens":131,"total_tokens":1521}
[2025-06-23T21:41:54.921+02:00] model usage detail: {"prompt_tokens":1390,"completion_tokens":131,"total_tokens":1521}
[2025-06-23T21:42:14.987+02:00] model usage detail: {"prompt_tokens":1390,"completion_tokens":131,"total_tokens":1521}
[2025-06-23T21:42:35.109+02:00] model usage detail: {"prompt_tokens":1390,"completion_tokens":128,"total_tokens":1518}
[2025-06-23T21:42:58.291+02:00] model usage detail: {"prompt_tokens":1087,"completion_tokens":105,"total_tokens":1192}
[2025-06-23T21:43:16.220+02:00] model usage detail: {"prompt_tokens":1390,"completion_tokens":110,"total_tokens":1500}
[2025-06-23T21:43:33.971+02:00] model usage detail: {"prompt_tokens":1389,"completion_tokens":109,"total_tokens":1498}
